model,horizon_h,n,rmse,mae,bias,skill_vs_baseline,coverage_80,interval_width,pinball,episode_n,episode_rmse,episode_recall
full,48,44610,62.89487010376991,41.97007653567776,0.5105055676336433,0.3305321051669665,0.5840618695359785,82.8924469386069,14.396728649351273,5385,124.42677385879288,0.4768802228412256
full,72,44951,63.81226877461075,42.94160689768448,-3.7307766110760996,0.3357998793979028,0.5626126226335343,83.71402638083816,14.95325930787151,5270,132.50240428259988,0.42258064516129035
full,0,133729,63.12286865475688,42.05695782675145,-0.9706013564674332,0.3120181675338891,0.5893186967673429,84.85244099565492,14.4449880157887,16201,127.31262882258322,0.47614344793531266
full+upwind,24,44168,62.518718750614084,40.892978172688395,-1.8907041271582226,0.26217461904834705,0.6226227132765804,89.13390547310053,13.873332666986473,5546,127.98991049742175,0.4958528669311215
full+upwind,48,44610,63.24775217083478,42.156957357500936,0.5918881914663623,0.3267759448605302,0.5860793544048419,84.50795718986772,14.424711772355517,5385,123.6229191609688,0.5136490250696378
full+upwind,72,44951,64.24074953968493,43.27540345743382,-3.360857832034139,0.33133996939465304,0.5732464238837846,85.72504614495658,14.896190033353486,5270,132.36662999996688,0.41347248576850093
full+upwind,0,133729,63.34468192794045,42.11543934722106,-1.5567184984167721,0.30960060468539463,0.5938352937657502,86.44492111986067,14.401082694026805,16201,128.01118006962142,0.4749706808221715
coupled,24,44168,62.97564792514153,41.085131155818445,-2.6076277081810084,0.25678209103432204,0.6129097989494656,85.1381190001875,14.043487542541065,5546,129.3502391746304,0.4756581319870177
coupled,48,44610,62.96179659789258,41.7518557429748,-0.23380250110466463,0.329819723711135,0.582649630127774,82.80508080950757,14.401189386522999,5385,124.70564958056093,0.4856081708449396
coupled,72,44951,64.06551194062096,43.07746165833824,-3.742486116762413,0.33316395773839,0.563546973371004,82.05671634554943,14.9325302293622,5270,131.81425636646182,0.4303605313092979
coupled,0,133729,63.3394882339794,41.97723258671086,-2.197220674825992,0.3096572112237973,0.586222883592938,83.32408491322904,14.46164992373984,16201,128.6413634860919,0.4642306030491945
full+upwind+cal,24,44168,62.518718750614084,40.892978172688395,-1.8907041271582226,0.26217461904834705,0.8159527259554429,135.1685248827325,13.444341217736495,5546,127.98991049742175,0.4958528669311215
full+upwind+cal,48,44610,63.24775217083478,42.156957357500936,0.5918881914663623,0.3267759448605302,0.8019502353732347,132.91066127359704,13.764500820239876,5385,123.6229191609688,0.5136490250696378
full+upwind+cal,72,44951,64.24074953968493,43.27540345743382,-3.360857832034139,0.33133996939465304,0.7837200507218972,134.2292086594576,14.177864588999759,5270,132.36662999996688,0.41347248576850093
full+upwind+cal,0,133729,63.34468192794045,42.11543934722106,-1.5567184984167721,0.30960060468539463,0.8004471730140807,134.09959817905596,13.797704578932128,16201,128.01118006962142,0.4749706808221715
coupled+cal,24,44168,62.97564792514153,41.085131155818445,-2.6076277081810084,0.25678209103432204,0.7998550987140011,127.41355753320286,13.52123139145425,5546,129.3502391746304,0.4756581319870177
coupled+cal,48,44610,62.96179659789258,41.7518557429748,-0.23380250110466463,0.329819723711135,0.8054247926473885,132.07783839107958,13.69056904052763,5385,124.70564958056093,0.4856081708449396
coupled+cal,72,44951,64.06551194062096,43.07746165833824,-3.742486116762413,0.33316395773839,0.7764899557295722,128.4701702265798,14.12906695697528,5270,131.81425636646182,0.4303605313092979
coupled+cal,0,133729,63.3394882339794,41.97723258671086,-2.197220674825992,0.3096572112237973,0.7938592227564701,129.3246565936151,13.78203472529283,16201,128.6413634860919,0.4642306030491945
