fold,model,horizon_h,n,rmse,mae,bias,episode_recall,observed_mean
late-winter-2026,full+upwind,0,94699,67.2043138773361,46.555816557586255,0.5822199189236898,0.48956884561891517,145.54324796700234
late-winter-2026,coupled,24,32383,64.55783581389481,44.77559267894522,-4.288781176113936,0.47767503302509906,145.54324796700234
late-winter-2026,coupled,48,31480,67.59586256051067,46.71998713029206,6.442730659698454,0.509841973939562,145.54324796700234
late-winter-2026,coupled,72,30836,69.06232957974618,48.24906164532906,1.5510207753311025,0.48128499852637785,145.54324796700234
late-winter-2026,coupled,0,94699,67.06090881962379,46.552986594148244,1.1801691355697481,0.48956884561891517,145.54324796700234
spring-2026,persistence,24,61683,53.606137590047034,31.896454249955415,-0.4019118044409859,0.15846994535519127,75.35326280380741
spring-2026,persistence,48,60416,57.309805761006736,35.0521785757636,-0.012129195908368534,0.11934900542495479,75.35326280380741
spring-2026,persistence,72,58251,56.45953233586902,34.55342596407501,0.26836771042557206,0.13217391304347825,75.35326280380741
spring-2026,persistence,0,180350,55.79130594862957,33.811771689307825,-0.05484466777562139,0.13655336911150864,75.35326280380741
spring-2026,raw-cams,24,61683,63.303638745353304,43.02029958281321,8.382317453755492,0.03825136612021858,75.35326280380741
spring-2026,raw-cams,48,60416,62.02871687083117,41.840946727688035,7.375407521738171,0.03616636528028933,75.35326280380741
spring-2026,raw-cams,72,58251,62.88087464881748,42.06133671524952,6.6497218073509465,0.02782608695652174,75.35326280380741
spring-2026,raw-cams,0,180350,62.74226837673588,42.315490444506054,7.4854009056464275,0.03398926654740608,75.35326280380741
spring-2026,full (no fires),24,61683,38.899889572938726,23.55474128358313,-3.0703922508101256,0.014571948998178506,75.35326280380741
spring-2026,full (no fires),48,60416,40.82112424812883,24.995290764692665,-3.212299171495171,0.009041591320072333,75.35326280380741
spring-2026,full (no fires),72,58251,42.3970447049895,25.664346795553445,-5.994976815847605,0.0034782608695652175,75.35326280380741
spring-2026,full (no fires),0,180350,40.69813419082362,24.71869397628342,-4.062537657065218,0.008944543828264758,75.35326280380741
spring-2026,full,24,61683,38.89919665008799,23.918445535712937,-1.670065190313146,0.020036429872495445,75.35326280380741
spring-2026,full,48,60416,40.39612364902691,25.01481508417606,-1.5104196229865803,0.0054249547920434,75.35326280380741
spring-2026,full,72,58251,42.525637091872,26.342929673709676,-3.1870587486337327,0.0034782608695652175,75.35326280380741
spring-2026,full,0,180350,40.59906125162967,25.06880255352495,-2.1065567077521856,0.009540846750149075,75.35326280380741
spring-2026,full+upwind,24,61683,38.82244868077071,23.76114224730166,-2.108933255707503,0.02185792349726776,75.35326280380741
spring-2026,full+upwind,48,60416,40.647254466952745,25.329857493777354,-1.1172181835674673,0.0108499095840868,75.35326280380741
spring-2026,full+upwind,72,58251,42.58943444151681,26.00693246503298,-4.586583913859494,0.006956521739130435,75.35326280380741
spring-2026,full+upwind,0,180350,40.67942294954009,25.012015695065134,-2.5769685797418767,0.01311866428145498,75.35326280380741
spring-2026,coupled,24,61683,38.911244501132,23.739257611873583,-2.676775044273492,0.02185792349726776,75.35326280380741
spring-2026,coupled,48,60416,40.45387616722357,25.051210177195024,-1.6797983264182133,0.007233273056057866,75.35326280380741
spring-2026,coupled,72,58251,42.375609116956596,25.920353520862196,-3.7525474526625247,0.0052173913043478265,75.35326280380741
spring-2026,coupled,0,180350,40.57159710299687,24.883221814706715,-2.6902570136393082,0.011329755515802028,75.35326280380741
summer-2026,persistence,24,65504,45.701423416365394,26.503776525097702,0.5269421841923141,0.11044776119402985,58.19800467809692
summer-2026,persistence,48,62903,47.90101980293094,28.59260110805526,2.0393947426990766,0.06397306397306397,58.19800467809692
summer-2026,persistence,72,60915,49.74527389365264,30.58711361459958,3.3422006758050835,0.054838709677419356,58.19800467809692
summer-2026,persistence,0,189322,47.76206604629898,28.51162459108468,1.9352796954395162,0.07749469214437367,58.19800467809692
summer-2026,raw-cams,24,65504,92.3980405933391,68.55576275240188,57.94921450089562,0.05373134328358209,58.19800467809692
summer-2026,raw-cams,48,62903,93.21076013623919,69.96467844670896,59.911864431479145,0.06060606060606061,58.19800467809692
summer-2026,raw-cams,72,60915,94.00066532770533,70.27548879586308,60.26569651700457,0.04516129032258064,58.19800467809692
